base_date,emd_nm,disQuantity,disCount
19-Nov,용담2동,57440350,28305
19-Nov,이도1동,47836050,20499
19-Nov,이도2동,182187700,90629
19-Nov,이호동,18790200,8171
19-Nov,일도1동,24702400,8779
19-Nov,일도2동,140730100,73462
19-Nov,조천읍,3138350,1026
19-Nov,한경면,875600,206
19-Nov,한림읍,2281700,463
19-Nov,화북동,105407300,60166
19-Dec,건입동,34862350,14934
19-Dec,구좌읍,11609650,2960
19-Dec,노형동,240159150,113382
19-Dec,도두동,16374700,6003
19-Dec,봉개동,10873700,4511
19-Dec,삼도1동,64195000,28878
19-Dec,삼도2동,35440750,17119
19-Dec,삼도동,,
19-Dec,삼양동,65423650,29873
19-Dec,아라동,104256850,49525
19-Dec,애월읍,40446750,13013
19-Dec,연동,212927900,97432
19-Dec,오라동,57673900,25503
19-Dec,외도동,100162600,47963
19-Dec,용담1동,35000000,14929
19-Dec,용담2동,58443000,26602
19-Dec,이도1동,49732300,19488
19-Dec,이도2동,195483750,87318
19-Dec,이호동,18065600,7459
19-Dec,일도1동,25956550,8472
19-Dec,일도2동,152354900,70276
19-Dec,조천읍,19824750,5662
19-Dec,한경면,3819000,1028
19-Dec,한림읍,31372850,7617
19-Dec,화북동,113841450,58683
20-Jan,건입동,36573950,15670
20-Jan,구좌읍,21241850,5869
20-Jan,노형동,226779350,103500
20-Jan,도두동,17683750,6012
20-Jan,봉개동,11643550,4713
20-Jan,삼도1동,70405850,29977
20-Jan,삼도2동,33736450,15545
20-Jan,삼도동,,
20-Jan,삼양동,71035750,30802
20-Jan,아라동,93631950,42356
20-Jan,애월읍,58844350,17991
20-Jan,연동,186195100,82493
20-Jan,오라동,60951000,25904
20-Jan,외도동,100089546,45068
20-Jan,용담1동,36610800,15316
20-Jan,용담2동,61533650,27323
20-Jan,이도1동,51612550,19191
20-Jan,이도2동,206714500,87654
20-Jan,이호동,21179900,7755
20-Jan,일도1동,26716000,8416
20-Jan,일도2동,162186450,71972
20-Jan,조천읍,34179800,10775
20-Jan,한경면,11215200,2662
20-Jan,한림읍,49361650,12357
20-Jan,화북동,122677750,60798
20-Feb,건입동,33442900,14462
20-Feb,구좌읍,19951500,6087
20-Feb,노형동,235670250,109013
20-Feb,도두동,15113800,5598
20-Feb,봉개동,10737450,4524
20-Feb,삼도1동,62160200,27939
20-Feb,삼도2동,31584550,14945
20-Feb,삼도동,,
20-Feb,삼양동,66417450,29145
20-Feb,아라동,101353450,47274
20-Feb,애월읍,61176250,19805
20-Feb,연동,197922450,92630
20-Feb,오라동,57122150,24738
20-Feb,외도동,101582200,46577
20-Feb,용담1동,31884500,13796
20-Feb,용담2동,54871150,25812
